Data taken from: https://vizier.u-strasbg.fr/viz-bin/VizieR-4
Full	Band	tmid(s)	texp/2(s)	mag	e_mag	flux(Jy)
1	BV_RINGO3	202.5	1.2	14.33	0.06	6.6e-03	4e-04
2	BV_RINGO3	204.8	1.2	14.36	0.06	6.5e-03	4e-04
3	BV_RINGO3	207.2	1.2	14.32	0.06	6.7e-03	4e-04
4	BV_RINGO3	209.5	1.2	14.36	0.06	6.5e-03	4e-04
5	BV_RINGO3	211.9	1.2	14.38	0.06	6.4e-03	4e-04
6	BV_RINGO3	214.2	1.2	14.41	0.06	6.2e-03	4e-04
7	BV_RINGO3	216.6	1.2	14.45	0.06	6.0e-03	3e-04
8	BV_RINGO3	218.9	1.2	14.46	0.06	5.9e-03	3e-04
9	BV_RINGO3	221.3	1.2	14.44	0.06	6.0e-03	3e-04
10	BV_RINGO3	223.6	1.2	14.48	0.06	5.8e-03	3e-04
11	BV_RINGO3	225.9	1.2	14.53	0.06	5.5e-03	3e-04
12	BV_RINGO3	228.3	1.2	14.51	0.06	5.6e-03	3e-04
13	BV_RINGO3	230.7	1.2	14.54	0.06	5.5e-03	3e-04
14	BV_RINGO3	233.0	1.2	14.59	0.06	5.2e-03	3e-04
15	BV_RINGO3	235.3	1.2	14.56	0.06	5.4e-03	3e-04
16	BV_RINGO3	237.7	1.2	14.56	0.06	5.4e-03	3e-04
17	BV_RINGO3	240.0	1.2	14.60	0.06	5.2e-03	3e-04
18	BV_RINGO3	242.4	1.2	14.60	0.06	5.2e-03	3e-04
19	BV_RINGO3	244.7	1.2	14.60	0.06	5.2e-03	3e-04
20	BV_RINGO3	247.1	1.2	14.62	0.06	5.1e-03	3e-04
21	BV_RINGO3	249.4	1.2	14.65	0.06	5.0e-03	3e-04
22	BV_RINGO3	251.8	1.2	14.65	0.06	4.9e-03	3e-04
23	BV_RINGO3	254.1	1.2	14.69	0.06	4.8e-03	3e-04
24	BV_RINGO3	256.4	1.2	14.67	0.06	4.9e-03	3e-04
25	BV_RINGO3	258.8	1.2	14.74	0.06	4.6e-03	3e-04
26	BV_RINGO3	261.1	1.2	14.78	0.07	4.4e-03	3e-04
27	BV_RINGO3	263.5	1.2	14.75	0.06	4.5e-03	3e-04
28	BV_RINGO3	265.8	1.2	14.74	0.06	4.6e-03	3e-04
29	BV_RINGO3	268.2	1.2	14.78	0.07	4.4e-03	3e-04
30	BV_RINGO3	270.5	1.2	14.73	0.06	4.6e-03	3e-04
31	BV_RINGO3	272.9	1.2	14.78	0.07	4.4e-03	3e-04
32	BV_RINGO3	276.4	2.4	14.80	0.06	4.3e-03	3e-04
33	BV_RINGO3	279.9	1.2	14.79	0.07	4.4e-03	3e-04
34	BV_RINGO3	282.2	1.2	14.87	0.07	4.1e-03	2e-04
35	BV_RINGO3	284.6	1.2	14.93	0.07	3.8e-03	2e-04
36	BV_RINGO3	286.9	1.2	14.88	0.07	4.0e-03	2e-04
37	BV_RINGO3	289.3	1.2	14.90	0.07	3.9e-03	2e-04
38	BV_RINGO3	291.6	1.2	14.96	0.07	3.7e-03	2e-04
39	BV_RINGO3	294.0	1.2	14.94	0.07	3.8e-03	2e-04
40	BV_RINGO3	296.3	1.2	14.97	0.07	3.7e-03	2e-04
41	BV_RINGO3	298.7	1.2	14.99	0.07	3.6e-03	2e-04
42	BV_RINGO3	302.2	2.4	14.97	0.06	3.7e-03	2e-04
43	BV_RINGO3	305.7	1.2	15.02	0.07	3.5e-03	2e-04
44	BV_RINGO3	308.1	1.2	14.98	0.07	3.7e-03	2e-04
45	BV_RINGO3	310.4	1.2	15.04	0.07	3.5e-03	2e-04
46	BV_RINGO3	312.8	1.2	15.06	0.07	3.4e-03	2e-04
47	BV_RINGO3	315.1	1.2	15.03	0.07	3.5e-03	2e-04
48	BV_RINGO3	317.4	1.2	15.10	0.07	3.3e-03	2e-04
